,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,year,address_expand,location_expand,name_expand
1307,Schweizerische Gesellschaft für Allergologie & Immunologie,Bern,CH,Scheibenstrasse 20,,,,16470.0,,,,,16470.0,hco,csl,2017,scheibenstrasse 20,bern, allergologie & immunologie
1783,Schweizerische Gesellschaft für Allergologie &Immunologie (SSAI),Bern,CH,Scheibenstrasse 20,,,0.0,3510.0,0.0,0.0,0.0,0.0,3510.0,hco,glaxosmithkline,2017,scheibenstrasse 20,bern, allergologie &immunologie (ssai)
6789,Schweizerische Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstrasse 20,,,,14580.0,,,,,14580.0,hco,merck,2016,scheibenstrasse 20,bern, allergologie und immunologie
8615,Schweizerische Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstrasse 20,,,0.0,22000.0,0.0,0.0,0.0,0.0,22000.0,hco,menarini,2015,scheibenstrasse 20,bern, allergologie und immunologie
10374,Schweizerische Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstrasse 20,,,0.0,750.0,0.0,0.0,0.0,0.0,750.0,hco,merck,2015,scheibenstrasse 20,bern, allergologie und immunologie
2485,Schweizerische Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstrasse 20,,,,14925.6,,,,,14925.6,hco,merck,2017,scheibenstrasse 20,bern, allergologie und immunologie
10587,Schweizerische Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstrasse 20,,,13500.0,0.0,0.0,0.0,0.0,0.0,13500.0,hco,mundipharma,2015,scheibenstrasse 20,bern, allergologie und immunologie
7996,Schweizerische Gesellschaft für Allergologie und Immunologie (SGAI),Bern,CH,Scheibenstrasse 20,,,,13500.0,,,,,13500.0,hco,stallergenes,2016,scheibenstrasse 20,bern, allergologie und immunologie (sgai)
11500,Schweizerische Gesellschaft für Allergologie und Immunologie (SGAI),Bern,CH,Scheibenstrasse 20,,,0.0,13500.0,0.0,0.0,0.0,0.0,13500.0,hco,stallergenes,2015,scheibenstrasse 20,bern, allergologie und immunologie (sgai)
2975,Schweizerische Gesellschaft für Allergologie und Immunologie (SGAI) Sekret. Frau Evelyne Schenk,Bern,CH,Scheibenstrasse 20,,,0.0,45850.0,0.0,0.0,3000.0,0.0,48850.0,hco,novartis,2017,scheibenstrasse 20,bern, allergologie und immunologie (sgai) sekret. frau evelyne schenk
1621,Schweizerische Gesellschaft für Allergologie und Immunologie SGAI,Bern,CH,Scheibenstrasse 20,,Schweizerische_Gesel lschaft_fur_Allergologi e_und_Immunologie_ SGAI,,3000.0,,,,,3000.0,hco,galderma,2017,scheibenstrasse 20,bern, allergologie und immunologie sgai
