Takeda Pharma AG and Takeda Pharmaceuticals International AG
Dato of publication:	19.06.2019
"Full Name
(Art 1.01";"HCPszCityof
Principal Practica
HCOs:c>ty where
registered
(Art 3)";"Country of Prndpal
Practice
(Schedule 1)";"Principal Practice
Address
(Art 3)";"Uniquo country
identifier OPTIONAL
(Art. 3)";"Donations and G ants
to HCOs (Art
3.01.1.a)";Contribution to costs of Events (Art 3.01.1.b & 301.2 a);;;"Fee for service and consultancy (Art 3.01.1.c &
3.01.2.C)";;;"TOTAL
OPTIONAL"
;;;;;;"Sponsorship
agreements with
HCOs / third parties
appointee by HCOs to
manage an Event";Registration Fees;"Travel &
Accommodation";Fees;"Related expenses
agreed In the fee for
service or consultancy
contract, including
travel &
accommodation
relevant to the
contract";;
INDIVIDUAL VA WED DISCLOSURE - one *nQ por fiMmntfor* ai vnluo dunng * year for an rtrdMfunl HCP wtJf be tmmmod up itnnUMtton (tltookl bo nvtùlo&v to' (tm txirvtiUml or 0UÔAC tHithorms Conuxtnt*>n only iik appropri.»?»);;;;;;;;;;;;
Am Markus;8180 Bulach;SWITZERLAND;"Gastroenterologie im
Zentrum
Kasemenstrasse 1";;N/A;N/A;313.25 CHF;;;;;313.25 CHF
Balabanov Stefan;8091 Zürich;SWITZERLAND;"Zentrum f.
Hamatologie/Onkolo
gie
Rämistrasse 100";;N/A;N/A;;;900.00 CHF;;;900.00 CHF
Bargetzi Mario;5001 Aarau;SWITZERLAND;"Onkologie und
Hämatologie
Teilstrasse 25";;N/A;N/A;;;400.00 CHF;;;400.00 CHF
Betticher Daniel;1722 Bourguillon;SWITZERLAND;"Rue de Max von
Sachsen 4";;N/A;N/A;;;2-500.00 CHF;;;2-500.00 CHF
Biedermann Luc;8003 Zürich;SWITZERLAND;"Kalkbreitestrasse
121";;N/A;N/A;;;öWO-OO CHF;;;5000.00 CHF
Bouchaab Hasna;1011 Lausanne;SWITZERLAND;"Centre d'oncologie
ambulatoire
Rue du Bugnon 46";;N/A;N/A;48.19 CHF;V401.18 CHF;;;;T449.35 CHF
Burckhardt Beat;3018 Bern;SWITZERLAND;"Praxis Dr.
Burckhardt/Dr.
Under
Mühledorfstrasse 1";;N/A;N/A;313.25 CHF;1'246.25 CHF;;;;1‘559.50 CHF
Cozzio Antonio;9007 SL Galen;SWITZERLAND;"Dermatologie und
Allergologie
Rorschacher Strasse
95";;N/A;N/A;;;2000.00 CHF;;;2000.00 CHF
Cu rioni Alessandra;8136 Gattikon;SWITZERLAND;Rütiholzstrasse 15;;N/A;N/A;433.35 CHF;4-097.08 CHF;3075.00 CHF;;;5505.44 CHF
Dirnhofer Stephan;4056 Basel;SWITZERLAND;"Institut für Pathologie
Schörbeinstrasse 40";;N/A;N/A;;;900.00 CHF;;;900.00 CHF
Dr essen Christoph;9011 SLGallen;SWITZERLAND;"Kammolenbergstras
se 37";;N/A;N/A;;;400.00 CHF;;;400.00 CHF
Frisoni Giovanni;1227 Les Acacias;SWITZERLAND;"Consultations
mémoire
Ruo des Epirottes
19";;N/A;N/A;;;2000.00 CHF;;;7000.00 CHF
"Takeda Pharma AG and Takeda Pharmaceuticals International AG - HCP/HCO Transparency Disclosure Report for year 2018; Issue n.l of June 19,2019"
*dOH
Fròsch Patrizia;6600 Muralto;SWITZERLAND;Via G.G. Nessi 11;;N/A;N/A;;;3475.00 CHF;303.00 CHF;;3778.00 CHF
Gratwohl Alois;4053 Basel;SWITZERLAND;Ditthgerstrasse 4;;N/A;N/A;;;6257.00 CHF;;;6752.00 CHF
Guerova Emrranuella;8006 Zürich;SWITZERLAND;Sonneggs trasse 51;;N/A;N/A;;;21'125.00 CHF;1764.35 CHF;;22789.35 CHF
Indra Peter;4001 Basel;SWITZERLAND;"Gesù ndheits versorg
ung
Gerbergasse 13";;N/A;N/A;;;2638.00 CHF;;;2638.00 CHF
Janthur WoK-Dieter;4053 Basel;SWITZERLAND;Blauensleinerstr. 33;;N/A;N/A;;;1700.00 CHF;;;1200.00 CHF
Kempf Werner;8006 Zürich;SWITZERLAND;"Dermatologisches
Zentrum Zürich
Beckenhofstrasse 0";;N/A;N/A;;;825 00 CHF;;;875.00 CHF
Kròner Anja;8750 Glarus;SWITZERLAND;"Onkologie
Burqstrasse 99";;N/A;N/A;;;600.00 CHF;;;600.00 CHF
Manz Michael;4002 Basel;SWITZERLAND;"Gastroenterologie
Klein rfehenstrasse
30";;N/A;N/A;;;1000.00 CHF;;;1 WO.00 CHF
MlschoAxel;8712 Stäfa;SWITZERLAND;Binzstrasse 66;;N/A;N/A;;;2500.00 CHF;;;3500.00 CHF
Mocda Aldan AlCerto;6500 Bellinzona;SWITZERLAND;Via Paradiso 7B;;N/A;N/A;;;2150.00 CHF;;;Z150.00 CHF
Muller Antocia Maria;8091 Zürich;SWITZERLAND;"Zentrum f.
Hämatologie/Onkolo
gie
Rämistrasse 100";;N/A;N/A;;;75000 CHF;;;750.00 CHF
NötzS Jasmine;1005 Lausanne;SWITZERLAND;"Cabinot Dr Nötzll
Jasmine
Avenue de Rumine
35";;N/A;N/A;;;800.00 CHF;;;800.00 CHF
Oberle Arne;5000 Aarau;SWITZERLAND;"Praxis Dr. Riniker
Ronan
Buchserstrasse 18";;N/A;N/A;313.25 CHF;;;;;313.25 CHF
Pedrazzlrl Augusto;6600 Locarno;SWITZERLAND;"Studio Dr. Pedrazzlni
Kouros
Via Vinconzo Vela
11";;N/A;N/A;412.72 CHF;1118.73 CHF;;;;1531.45 CHF
Pless Mikios;6400 Winterthur;SWITZERLAND;"Hallenrebenstrasse
98i";;N/A;N/A;;;1600.00 CHF;;;1-600.00 CHF
Reichlin Hetz Monika;8044 Zürich;SWITZERLAND;"Innoro Medizin
Toblerstrasse 51";;N/A;N/A;313.22 CHF;483.83 CHF;;;;797.05 CHF
Renner Christoph;8032 Zürich;SWITZERLAND;"Onkozentmm
Hirslanden
Wlteilikerstrasse 40";;N/A;N/A;;;400.00 CHF;;;400.00 CHF
Rogier Gerhard;8032 Zürich;SWITZERLAND;Kapfs trasse 16;;N/A;N/A;164.37 CHF;7898.32 CHF;5200.00 CHF;;;13262.69 CHF
Spataro Vrto;6500 Borir zona;SWITZERLAND;"Studio Dr. Spataro
Vito
Viale Stazione 23";;N/A;N/A;412.72 CHF;97461 CHF;;;;178733 CHF
Stahe) Rotf;8704 Herrfiberg;SWITZERLAND;Bergstrasse 107;;N/A;N/A;;;3400.00 CHF;;;3400.00 CHF
Steffen Robert;8700 KüsnachtZH;SWITZERLAND;"Praxis Dr. Angst / Dr.
Steffen
Schiedhaldenstrasse
1";;N/A;N/A;;;f3'0OO.O0 CHF;;;13800.00 CHF
Studer Urs E.;3010 Bern;SWITZERLAND;"Uroiogische
Universitätsklinik
Anna Seiler-Haus
Inselspital";;N/A;N/A;;;5000.00 CHF;1754.00 CHF;;6754.00 CHF
Tappy Luc;30971 iebefetó;SWITZERLAND;"Mitglieder EEK
OctiwraenburgUm
se 155";;N/A;N/A;;;ZOOO.OO CHF;;;TWO 00 CHF
Turina Matthias;8123 Ebmatingen;SWITZERLAND;Leibachstrasse 25;;N/A;N/A;;;4-80000 CHF;;;4-80000 CHF
"Takeda Pharma AG and Takeda Pharmaceuticals International AG - HCP/HCO Transparency Disclosure Report for year 2018; Issue n.l of June 19, 2019"
;Vallet Cédric;1004 Lausanne;SWITZERLAND;"CabChirVisc
Avenue Jomini 8";;HIA;N/A;;;800.00 CHF;;;800.00 CHF
;Wannesson Luciano;6500 Belinzona;SWITZERLAND;Via Parco 8;;NIA;N/A;;;2100.00 CHF;;;210000 CHF
;Werth Baseli;7000 Chur;SWITZERLAND;"Gastro Praxis Chur
Quacerstrasse 2";;N'A;N/A;313.25 CHF;;;;;313.25 CHF
;;;;;;;;;;;;;
;OTHER, NOT INCLUDED ABOVE mhore information canno/ bo ésctosod on on tnonidv»! basts k<r fogni reasons;;;;;;;;;;;;
;Aggregate amount attributable to transfers of value to such Recipients - Art 3.02;;;;;N/A;N/A;1188.64 CHF;2090.92 CHF;17050.00 CHF;0.00;;20'32956 CHF
;Number of Recipients in aggregate disclosure - Art. 3.02;;;;;NIA;N/A;2;2;4;0;;6
;"% of the number of Recipients included in the aggregate disclosure In the total number of Recipients
disclosed - A'L 3.02";;;;;N/A;N/A;16.67%;2222%;11.43%;0.00%;;N/A
;INDIVIDUAL NAMED DISCLOSURE -one une per HCO (lo. aH tra/tohm of value (fixing d year fix an IntfNkkal WCO oo summed up itetnration thoufd be nva#aM> for ttxi txxvtfvRl;;;;;;;;;Raopteni nr public authorities' CCOWttaHon only. *s appropriato >;;;
;"Ass. Frto. des inst
pour Personnes
Agées - Vereinig.
Fre:burg. Alerseinr.";1700 Fribourg;SWITZERLAND;"Route Saint-Nicolas-
de-Fiüe2";;;1500.00 CHF;;;;;;1 “500.00 CHF
;"Associazione MMM
Mencirisk) Medical
Meeting";6648 Mkusio;SWITZERLAND;Via Cadogno 1;;;500.00 CHF;;;;;;500.00 CHF
;"CHUV Centre
Hospitalier
Universitaire Vaudois";1011 Lausanne;SWITZERLAND;Rue Du Bugnon 21;;;21 “270.00 CHF;24200 CHF;;12885 89 CHF;854.50 CHF;;35'252.39 CHF
;"CHUV Centre
Hospitalier
Universitaire Vaudois -
Service de Chirurgie
Viscérale";1011 Lausanne;SWITZERLAND;Rue du Bugnon 46;;;;;;1 “600.00 CHF;;;1600.00 CHF
;"CabChirVrsc - Cabinet
de chirurgie viscérale";1004 Lausanne;SWITZERLAND;Avenue Jomini 8;;;;383.24 CHF;533.15 CHF;;;;916.39 CHF
